TYPE__C,TYPE_VALUE__C,ID,territory
Postal_Codes__c,72250,a1u7x000003J2hEAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_07A
Postal_Codes__c,85033,a1u7x000003J2pnAAC,EMEA_ESMB_SOUTH_IT_01_GRB_05A
Postal_Codes__c,67380,a1u7x000003J4dbAAC,EMEA_ESMB_FRCEN_FR_1_01_GRB_TempCoverage_06A
Postal_Codes__c,45211,a1u7x000003J68PAAS,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_GRB_3A
Postal_Codes__c,25089,a1u7x000003J37HAAS,EMEA_ESMB_SOUTH_IT_01_SB_TempCoverage_02A
Postal_Codes__c,NR27,a1u7x000003J2PpAAK,EMEA_ESMB_UKI_UK_GRB_FINS_07
Postal_Codes__c,SK2,a1u7x000003J4BGAA0,EMEA_ESMB_UKI_UK_GRB1_02_01
Postal_Codes__c,28231,a1u7x000003J46hAAC,EMEA_ESMB_SOUTH_IB_02_ES_SB_3A
Postal_Codes__c,57655,a1u7x000003J4dbAAC,EMEA_ESMB_FRCEN_FR_1_01_GRB_TempCoverage_06A
Postal_Codes__c,23320,a1u7x000003J7fbAAC,EMEA_ESMB_FRCEN_FR_1_03_SB_TempCoverage_04A
Postal_Codes__c,76330,a1u7x000003J3KSAA0,EMEA_ESMB_FRCEN_FR_1_04_SB_04A
Postal_Codes__c,SW95,a1u7x000003J2PpAAK,EMEA_ESMB_UKI_UK_GRB_FINS_07
Postal_Codes__c,64530,a1u7x000003J6V3AAK,EMEA_ESMB_FRCEN_FR_1_02_GRB_TempCoverage_08A
Postal_Codes__c,28680,a1u7x000003J68PAAS,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_GRB_3A
Postal_Codes__c,57000,a1u7x000003J8LGAA0,EMEA_ESMB_FRCEN_FR_1_02_SB_04A
Postal_Codes__c,51370,a1u7x000003J6V4AAK,EMEA_ESMB_FRCEN_FR_1_02_GRB_06A
Postal_Codes__c,88340,a1u7x000003J4KsAAK,EMEA_ESMB_FRCEN_FR_2_06_SB_04A
Postal_Codes__c,H53,a1u7x000003J8JZAA0,EMEA_ESMB_UKI_IRELAND_GRB_03
Postal_Codes__c,311,a1u7x000003J871AAC,EMEA_ESMB_FRCEN_CEN_CHAT_01_CH_GRB_RCG_07A
Postal_Codes__c,62440,a1u7x000003J3FBAA0,EMEA_ESMB_FRCEN_FR_2_05_GRB_07A
Postal_Codes__c,72270,a1u7x000003J2M9AAK,EMEA_FRANCE_MMR_CATCHALL_GB_RG
Postal_Codes__c,44980,a1u7x000003J7fbAAC,EMEA_ESMB_FRCEN_FR_1_03_SB_TempCoverage_04A
Postal_Codes__c,AL5,a1u7x000003J2axAAC,EMEA_ESMB_UKI_UK_SB_FINS_07
Postal_Codes__c,24580,a1u7x000003J2kNAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_05A
Postal_Codes__c,90360,a1u7x000003IzrOAAS,EMEA_ESMB_FRCEN_FR_1_04_GRB_06A
Postal_Codes__c,667,a1u7x000003IymgAAC,EMEA_ESMB_NORTH_NOR_NO_GRB_02B
Postal_Codes__c,14400,a1u7x000003J1raAAC,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_SB_1B
Postal_Codes__c,59216,a1u7x000003J4dbAAC,EMEA_ESMB_FRCEN_FR_1_01_GRB_TempCoverage_06A
Postal_Codes__c,CA12,a1u7x000003J2uEAAS,NP_EMEA_NGO_UKI_MM_02
Postal_Codes__c,12194,a1u7x000003J0EBAA0,EMEA_ESMB_SOUTH_IB_01_ES_GRB_TempCoverage_7B
Postal_Codes__c,43121,a1u7x000003J3QPAA0,EMEA_ESMB_SOUTH_IT_02_GRB_04
Postal_Codes__c,62240,a1u7x000003IzrOAAS,EMEA_ESMB_FRCEN_FR_1_04_GRB_06A
Postal_Codes__c,83680,a1u7x000003J5vJAAS,EMEA_ESMB_FRCEN_FR_2_05_SB_01A
Postal_Codes__c,IG1,a1u7x000003J68FAAS,EMEA_ESMB_UKI_UK_SB_FINS_08
Postal_Codes__c,80034,a1u7x000003J392AAC,EMEA_ESMB_SOUTH_IT_03_SB_04
Postal_Codes__c,44470,a1u7x000003J3KSAA0,EMEA_ESMB_FRCEN_FR_1_04_SB_04A
Postal_Codes__c,58330,a1u7x000003J38lAAC,EMEA_ESMB_FRCEN_FR_2_06_SB_01A
Postal_Codes__c,968,a1u7x000003IymgAAC,EMEA_ESMB_NORTH_NOR_NO_GRB_02B
Postal_Codes__c,62027,a1u7x000003J3s3AAC,EMEA_ESMB_SOUTH_IT_02_GRB_06A
Postal_Codes__c,4672,a1u7x000003J4ZjAAK,EMEA_ESMB_SOUTH_IL_03_SB_TempCoverage_03B
Postal_Codes__c,37058,a1u7x000003J3QQAA0,EMEA_ESMB_SOUTH_IT_02_SB_TempCoverage_01A
Postal_Codes__c,95220,a1u7x000003J6hhAAC,EMEA_ESMB_FRCEN_FR_1_02_SB_05B
Postal_Codes__c,91440,a1u7x000003J2mwAAC,EMEA_FRANCE_IND_CATCHALL_GB_ID
Postal_Codes__c,9950,a1u7x000003J5XJAA0,EMEA_ESMB_SOUTH_IB_03_PT_GRB_7B
Postal_Codes__c,36030,a1u7x000003J37GAAS,EMEA_ESMB_SOUTH_IT_01_SB_01A
Postal_Codes__c,328,a1u7x000003J1a8AAC,EMEA_ESMB_NORTH_NL_02_GRB_TempCoverage_03B
Postal_Codes__c,PR3,a1u7x000003J6XrAAK,EMEA_ESMB_UKI_UK_GRB1_03_07
Postal_Codes__c,777,a1u7x000003J3tlAAC,EMEA_ESMB_NORTH_NOR_SE_SB_09B
Postal_Codes__c,87076,a1u7x000003J61hAAC,EMEA_ESMB_SOUTH_IT_01_SB_03A
Postal_Codes__c,42152,a1u7x000003J3F9AAK,EMEA_ESMB_FRCEN_FR_2_05_GRB_LOA_TempCoverage_06A
Postal_Codes__c,63117,a1u7x000003J7KvAAK,EMEA_ESMB_FRCEN_FR_1_02_SB_01
Postal_Codes__c,83025,a1u7x000003J2j9AAC,EMEA_ESMB_SOUTH_IT_03_GRB_05A
Postal_Codes__c,62500,a1u7x000003J3FBAA0,EMEA_ESMB_FRCEN_FR_2_05_GRB_07A
Postal_Codes__c,14690,a1u7x000003J2kNAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_05A
Postal_Codes__c,3508,a1u7x000003J47vAAC,EMEA_ESMB_SOUTH_IL_01_GRB_05C
Postal_Codes__c,24630,a1u7x000003IzrOAAS,EMEA_ESMB_FRCEN_FR_1_04_GRB_06A
Postal_Codes__c,45790,a1u7x000003J5onAAC,EMEA_ESMB_SOUTH_IB_02_ES_GRB_6B
Postal_Codes__c,73550,a1u7x000003J4ntAAC,EMEA_ESMB_FRCEN_FR_1_03_GRB_06A
Postal_Codes__c,57150,a1u7x000003J8LGAA0,EMEA_ESMB_FRCEN_FR_1_02_SB_04A
Postal_Codes__c,970,a1u7x000003J3tlAAC,EMEA_ESMB_NORTH_NOR_SE_SB_09B
Postal_Codes__c,50067,a1u7x000003J5WxAAK,EMEA_ESMB_SOUTH_IT_03_SB_03A
Postal_Codes__c,28845,a1u7x000003J2ZUAA0,EMEA_ESMB_SOUTH_IT_03_SB_02A
Postal_Codes__c,65190,a1u7x000003J6XuAAK,EMEA_ESMB_FRCEN_FR_1_01_SB_03A
Postal_Codes__c,59127,a1u7x000003J4dbAAC,EMEA_ESMB_FRCEN_FR_1_01_GRB_TempCoverage_06A
Postal_Codes__c,49125,a1u7x000003J3KSAA0,EMEA_ESMB_FRCEN_FR_1_04_SB_04A
Postal_Codes__c,38370,a1u7x000003J4EUAA0,EMEA_ESMB_FRCEN_FR_2_06_SB_03A
Postal_Codes__c,844,a1u7x000003J872AAC,EMEA_ESMB_FRCEN_CEN_CHAT_01_CH_GRB_TempCoverage_04A
Postal_Codes__c,239,a1u7x000003J1QBAA0,EMEA_ESMB_NORTH_NOR_NO_SB_03A
Postal_Codes__c,EX12,a1u7x000003J1eyAAC,EMEA_ESMB_UKI_UK_GRB1_04_04
Postal_Codes__c,36073,a1u7x000003J37GAAS,EMEA_ESMB_SOUTH_IT_01_SB_01A
Postal_Codes__c,59263,a1u7x000003J2M9AAK,EMEA_FRANCE_MMR_CATCHALL_GB_RG
Postal_Codes__c,69660,a1u7x000003J86oAAC,EMEA_ESMB_FRCEN_FR_1_01_GRB_05A
Postal_Codes__c,10062,a1u7x000003J37HAAS,EMEA_ESMB_SOUTH_IT_01_SB_TempCoverage_02A
Postal_Codes__c,G3,a1u7x000003J5BzAAK,EMEA_ESMB_UKI_UK_SB_FINS_01
Postal_Codes__c,38290,a1u7x000003J5onAAC,EMEA_ESMB_SOUTH_IB_02_ES_GRB_6B
Postal_Codes__c,42990,a1u7x000003J4ntAAC,EMEA_ESMB_FRCEN_FR_1_03_GRB_06A
Postal_Codes__c,77183,a1u7x000003J1nYAAS,EMEA_ESMB_FRCEN_FR_2_06_GRB_LOA_TempCoverage_07B
Postal_Codes__c,NP1,a1u7x000003J7p4AAC,EMEA_ESMB_NORTH_NL_03_SB_06B
Postal_Codes__c,WC2R,a1u7x000003J6hmAAC,EMEA_ESMB_UKI_UK_SB_02_05
Postal_Codes__c,687,a1u7x000003IvZRAA0,EMEA_ESMB_NORTH_BELUX_GRB_FR_04A
Postal_Codes__c,68420,a1u7x000003J8LGAA0,EMEA_ESMB_FRCEN_FR_1_02_SB_04A
Postal_Codes__c,648,a1u7x000003IymgAAC,EMEA_ESMB_NORTH_NOR_NO_GRB_02B
Postal_Codes__c,CA14,a1u7x000003J7sGAAS,EMEA_ESMB_UKI_UK_SB_01_07
Postal_Codes__c,730,a1u7x000003J870AAC,EMEA_ESMB_FRCEN_CEN_CHAT_01_CH_SB_RCG_07C
Postal_Codes__c,41730,a1u7x000003J68PAAS,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_GRB_3A
Postal_Codes__c,613,a1u7x000003J7fTAAS,EMEA_ESMB_NORTH_NOR_FI_SB_TempCoverage_04B
Postal_Codes__c,38434,a1u7x000003J1raAAC,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_SB_1B
Postal_Codes__c,86220,a1u7x000003IzrOAAS,EMEA_ESMB_FRCEN_FR_1_04_GRB_06A
Postal_Codes__c,TN22,a1u7x000003J6ZYAA0,NP_EMEA_NGO_UKI_MM_01
Postal_Codes__c,24031,a1u7x000003J1gGAAS,EMEA_ESMB_SOUTH_IT_02_GRB_07
Postal_Codes__c,985,a1u7x000003IzgJAAS,EMEA_ESMB_NORTH_NOR_FI_GRB_02B
Postal_Codes__c,13190,a1u7x000003J2M9AAK,EMEA_FRANCE_MMR_CATCHALL_GB_RG
Postal_Codes__c,36180,a1u7x000003IyBfAAK,EMEA_ESMB_FRCEN_FR_1_01_SB_04A
Postal_Codes__c,28127,a1u7x000003J66VAAS,EMEA_ESMB_SOUTH_IB_02_ES_GRB_7B
Postal_Codes__c,IG3,a1u7x000003J2PpAAK,EMEA_ESMB_UKI_UK_GRB_FINS_07
Postal_Codes__c,167,a1u7x000003Iz5nAAC,EMEA_CENTRAL_DEAT_REG_AT_CMRCL_MM_05B
Postal_Codes__c,59850,a1u7x000003J4xbAAC,EMEA_ESMB_FRCEN_FR_1_01_SB_02A
Postal_Codes__c,30160,a1u7x000003J4ntAAC,EMEA_ESMB_FRCEN_FR_1_03_GRB_06A
Postal_Codes__c,743,a1u7x000003J1UwAAK,EMEA_CENTRAL_DEAT_REG_DE_CMRCL_MM_FRA_08
Postal_Codes__c,28034,a1u7x000003J68PAAS,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_GRB_3A
Postal_Codes__c,27410,a1u7x000003J2cYAAS,EMEA_ESMB_FRCEN_FR_2_05_SB_03A
Postal_Codes__c,28065,a1u7x000003J2ZUAA0,EMEA_ESMB_SOUTH_IT_03_SB_02A
Postal_Codes__c,44530,a1u7x000003J2kNAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_05A
Postal_Codes__c,65150,a1u7x000003J4ntAAC,EMEA_ESMB_FRCEN_FR_1_03_GRB_06A
Postal_Codes__c,5400,a1u7x000003J433AAC,EMEA_ESMB_SOUTH_IB_03_PT_GRB_6A
Postal_Codes__c,17170,a1u7x000003J4dbAAC,EMEA_ESMB_FRCEN_FR_1_01_GRB_TempCoverage_06A
Postal_Codes__c,21640,a1u7x000003J4ntAAC,EMEA_ESMB_FRCEN_FR_1_03_GRB_06A
Postal_Codes__c,952,a1u7x000003IyBOAA0,EMEA_NORTH_BELUX_CMRCL_MM_MAE_02
Postal_Codes__c,76840,a1u7x000003J7s6AAC,EMEA_ESMB_FRCEN_FR_2_06_GRB_LOA_TempCoverage_07A
Postal_Codes__c,38650,a1u7x000003J68PAAS,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_GRB_3A
Postal_Codes__c,314,a1u7x000003J2u2AAC,EMEA_ESMB_NORTH_NOR_FI_GRB_01B
Postal_Codes__c,57490,a1u7x000003J4KsAAK,EMEA_ESMB_FRCEN_FR_2_06_SB_04A
Postal_Codes__c,87210,a1u7x000003J7fbAAC,EMEA_ESMB_FRCEN_FR_1_03_SB_TempCoverage_04A
Postal_Codes__c,45000,a1u7x000003J7niAAC,EMEA_ESMB_FRCEN_FR_2_06_GRB_06A
Postal_Codes__c,60370,a1u7x000003J3FBAA0,EMEA_ESMB_FRCEN_FR_2_05_GRB_07A
Postal_Codes__c,76540,a1u7x000003J2hEAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_07A
Postal_Codes__c,25047,a1u7x000003J2ZUAA0,EMEA_ESMB_SOUTH_IT_03_SB_02A
Postal_Codes__c,54850,a1u7x000003J2M9AAK,EMEA_FRANCE_MMR_CATCHALL_GB_RG
Postal_Codes__c,PH39,a1u7x000003J1S3AAK,EMEA_ESMB_UKI_UK_GRB_FINS_01
Postal_Codes__c,2510,a1u7x000003J47vAAC,EMEA_ESMB_SOUTH_IL_01_GRB_05C
Postal_Codes__c,171,a1u7x000003Iz5nAAC,EMEA_CENTRAL_DEAT_REG_AT_CMRCL_MM_05B
Postal_Codes__c,25050,a1u7x000003J7djAAC,EMEA_ESMB_SOUTH_IT_01_GRB_06A
Postal_Codes__c,54340,a1u7x000003J2hEAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_07A
Postal_Codes__c,712,a1u7x000003IzgJAAS,EMEA_ESMB_NORTH_NOR_FI_GRB_02B
Postal_Codes__c,29610,a1u7x000003J7fYAAS,EMEA_ESMB_FRCEN_FR_2_05_SB_02A
Postal_Codes__c,57460,a1u7x000003J2mHAAS,EMEA_ESMB_FRCEN_FR_1_04_SB_02
Postal_Codes__c,160,a1u7x000003J5M2AAK,EMEA_ESMB_NORTH_BELUX_SB_FL_07A
Postal_Codes__c,87019,a1u7x000003J2j9AAC,EMEA_ESMB_SOUTH_IT_03_GRB_05A
Postal_Codes__c,56550,a1u7x000003J2M9AAK,EMEA_FRANCE_MMR_CATCHALL_GB_RG
Postal_Codes__c,566,a1u7x000003J7fUAAS,EMEA_ESMB_NORTH_NOR_FI_SB_06B
Postal_Codes__c,88700,a1u7x000003J4xbAAC,EMEA_ESMB_FRCEN_FR_1_01_SB_02A
Postal_Codes__c,30640,a1u7x000003J68PAAS,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_GRB_3A
Postal_Codes__c,G44,a1u7x000003J5BzAAK,EMEA_ESMB_UKI_UK_SB_FINS_01
Postal_Codes__c,37340,a1u7x000003J3KSAA0,EMEA_ESMB_FRCEN_FR_1_04_SB_04A
Postal_Codes__c,91600,a1u7x000003J1nYAAS,EMEA_ESMB_FRCEN_FR_2_06_GRB_LOA_TempCoverage_07B
Postal_Codes__c,98796,a1u7x000003J6XuAAK,EMEA_ESMB_FRCEN_FR_1_01_SB_03A
Postal_Codes__c,19130,a1u7x000003J4dbAAC,EMEA_ESMB_FRCEN_FR_1_01_GRB_TempCoverage_06A
Postal_Codes__c,86120,a1u7x000003J4dbAAC,EMEA_ESMB_FRCEN_FR_1_01_GRB_TempCoverage_06A
Postal_Codes__c,35217,a1u7x000003J68PAAS,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_GRB_3A
Postal_Codes__c,54330,a1u7x000003J4KsAAK,EMEA_ESMB_FRCEN_FR_2_06_SB_04A
Postal_Codes__c,57650,a1u7x000003J2hEAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_07A
Postal_Codes__c,98830,a1u7x000003J2FjAAK,EMEA_ESMB_FRCEN_FR_1_04_SB_03A
Postal_Codes__c,189,a1u7x000003J4V4AAK,EMEA_ESMB_FRCEN_CEN_DE_NTH2_SB_TempCoverage_06
Postal_Codes__c,62240,a1u7x000003J2hEAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_07A
Postal_Codes__c,57790,a1u7x000003J2kNAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_05A
Postal_Codes__c,54840,a1u7x000003J2hEAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_07A
Postal_Codes__c,85450,a1u7x000003J7fYAAS,EMEA_ESMB_FRCEN_FR_2_05_SB_02A
Postal_Codes__c,680,a1u7x000003J871AAC,EMEA_ESMB_FRCEN_CEN_CHAT_01_CH_GRB_RCG_07A
Postal_Codes__c,16200,a1u7x000003J7s6AAC,EMEA_ESMB_FRCEN_FR_2_06_GRB_LOA_TempCoverage_07A
Postal_Codes__c,14390,a1u7x000003IyBfAAK,EMEA_ESMB_FRCEN_FR_1_01_SB_04A
Postal_Codes__c,3841,a1u7x000003J47vAAC,EMEA_ESMB_SOUTH_IL_01_GRB_05C
Postal_Codes__c,88210,a1u7x000003J8LGAA0,EMEA_ESMB_FRCEN_FR_1_02_SB_04A
Postal_Codes__c,79510,a1u7x000003J2cYAAS,EMEA_ESMB_FRCEN_FR_2_05_SB_03A
Postal_Codes__c,37053,a1u7x000003J3QQAA0,EMEA_ESMB_SOUTH_IT_02_SB_TempCoverage_01A
Postal_Codes__c,874,a1u7x000003J5hDAAS,EMEA_NORTH_BELUX_CMRCL_MM_RCG_01
Postal_Codes__c,622,a1u7x000003IyX7AAK,EMEA_ESMB_NORTH_NOR_NO_SB_05B
Postal_Codes__c,82240,a1u7x000003J4uIAAS,EMEA_ESMB_FRCEN_FR_1_03_SB_03A
Postal_Codes__c,LE17,a1u7x000003IzI4AAK,EMEA_ESMB_UKI_UK_SB_FINS_TempCoverage_04A
Postal_Codes__c,25049,a1u7x000003J37HAAS,EMEA_ESMB_SOUTH_IT_01_SB_TempCoverage_02A
Postal_Codes__c,20279,a1u7x000003IzGuAAK,EMEA_ESMB_FRCEN_FR_1_02_GRB_07A
Postal_Codes__c,45490,a1u7x000003J7fYAAS,EMEA_ESMB_FRCEN_FR_2_05_SB_02A
Postal_Codes__c,98839,a1u7x000003J1nWAAS,EMEA_ESMB_FRCEN_FR_2_06_GRB_08A
Postal_Codes__c,13490,a1u7x000003IzrNAAS,EMEA_ESMB_FRCEN_FR_1_04_GRB_LOA_TempCoverage_05A
Postal_Codes__c,40360,a1u7x000003J2cYAAS,EMEA_ESMB_FRCEN_FR_2_05_SB_03A
Postal_Codes__c,70440,a1u7x000003J4dbAAC,EMEA_ESMB_FRCEN_FR_1_01_GRB_TempCoverage_06A
Postal_Codes__c,191,a1u7x000003J3NNAA0,EMEA_ESMB_NORTH_BELUX_GRB_FL_02A
Postal_Codes__c,84000,a1u7x000003IzGuAAK,EMEA_ESMB_FRCEN_FR_1_02_GRB_07A
Postal_Codes__c,28690,a1u7x000003J68PAAS,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_GRB_3A
Postal_Codes__c,35800,a1u7x000003J2kNAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_05A
Postal_Codes__c,80370,a1u7x000003J6V4AAK,EMEA_ESMB_FRCEN_FR_1_02_GRB_06A
Postal_Codes__c,28600,a1u7x000003J7niAAC,EMEA_ESMB_FRCEN_FR_2_06_GRB_06A
Postal_Codes__c,68700,a1u7x000003J2hEAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_07A
Postal_Codes__c,36740,a1u7x000003J1raAAC,EMEA_ESMB_SOUTH_IB_03_ES_RET_TTH_SB_1B
Postal_Codes__c,38700,a1u7x000003J4g9AAC,EMEA_ESMB_FRCEN_FR_1_03_SB_01A
Postal_Codes__c,374,a1u7x000003J4pTAAS,EMEA_ESMB_FRCEN_CEN_DE_CEN_SB_TempCoverage_05
Postal_Codes__c,184,a1u7x000003IxrEAAS,EMEA_NORTH_BELUX_CMRCL_MM_PRO_TTH_01
Postal_Codes__c,29720,a1u7x000003IzrOAAS,EMEA_ESMB_FRCEN_FR_1_04_GRB_06A
Postal_Codes__c,56380,a1u7x000003IzrOAAS,EMEA_ESMB_FRCEN_FR_1_04_GRB_06A
Postal_Codes__c,HU20,a1u7x000003J1S3AAK,EMEA_ESMB_UKI_UK_GRB_FINS_01
Postal_Codes__c,167,a1u7x000003J4V4AAK,EMEA_ESMB_FRCEN_CEN_DE_NTH2_SB_TempCoverage_06
Postal_Codes__c,43737,a1u7x000003J4GZAA0,EMEA_ESMB_SOUTH_IB_01_ES_SB_2B
Postal_Codes__c,78700,a1u7x000003J7PWAA0,EMEA_ESMB_FRCEN_FR_1_04_GRB_LOA_TempCoverage_05B
Postal_Codes__c,50144,a1u7x000003J61hAAC,EMEA_ESMB_SOUTH_IT_01_SB_03A
Postal_Codes__c,34770,a1u7x000003J6XuAAK,EMEA_ESMB_FRCEN_FR_1_01_SB_03A
Postal_Codes__c,20247,a1u7x000003J6XuAAK,EMEA_ESMB_FRCEN_FR_1_01_SB_03A
Postal_Codes__c,LA4,a1u7x000003J6XrAAK,EMEA_ESMB_UKI_UK_GRB1_03_07
Postal_Codes__c,97230,a1u7x000003IzGtAAK,EMEA_ESMB_FRCEN_FR_1_02_GRB_07B
Postal_Codes__c,94700,a1u7x000003J2mwAAC,EMEA_FRANCE_IND_CATCHALL_GB_ID
Postal_Codes__c,31015,a1u7x000003J3QQAA0,EMEA_ESMB_SOUTH_IT_02_SB_TempCoverage_01A
Postal_Codes__c,611,a1u7x000003IyX7AAK,EMEA_ESMB_NORTH_NOR_NO_SB_05B
Postal_Codes__c,54670,a1u7x000003J2hEAAS,EMEA_ESMB_FRCEN_FR_1_03_GRB_07A
Postal_Codes__c,13006,a1u7x000003J1nWAAS,EMEA_ESMB_FRCEN_FR_2_06_GRB_08A
Postal_Codes__c,6610,a1u7x000003J3LXAA0,EMEA_ESMB_SOUTH_IL_02_SB_03A
Postal_Codes__c,39047,a1u7x000003J3QPAA0,EMEA_ESMB_SOUTH_IT_02_GRB_04
Postal_Codes__c,132,a1u7x000003IyX8AAK,EMEA_ESMB_NORTH_NOR_NO_SB_05A
Postal_Codes__c,88560,a1u7x000003J8LGAA0,EMEA_ESMB_FRCEN_FR_1_02_SB_04A
Postal_Codes__c,790,a1u7x000003IzgJAAS,EMEA_ESMB_NORTH_NOR_FI_GRB_02B
Postal_Codes__c,73110,a1u7x000003J4dZAAS,EMEA_ESMB_FRCEN_FR_1_01_SB_01A
Postal_Codes__c,665,a1u7x000003IyX7AAK,EMEA_ESMB_NORTH_NOR_NO_SB_05B
Postal_Codes__c,26011,a1u7x000003J2ZUAA0,EMEA_ESMB_SOUTH_IT_03_SB_02A
